id,title,category,subcategory,kind,countries,hasRunner,version,description
abc-tash,ABC / TASH / McLaughlin / RABT,6. Анестезиология и ICU,Трансфузия,score,,yes,1.0.0,Показания к активации протокола массивной трансфузии.
abcd2,ABCD2 / ABCD3-I,5. Неврология и нейрохирургия,Инсульт,score,,yes,1.0.0,Оценка риска инсульта в течение 2 суток после ТИА.
abcde,ABCDE / 7-point Glasgow / Menzies / pattern analysis,22. Прочие специальности,Дерматология,calculator,США (AAD / ACS),yes,1.0.0,Клиническая диагностика меланомы.
abi,ABI / TBI / WIfI classification,4. Кардиология и сосуды,Сосуды / Аорта,calculator,Международный (AHA · ESC · SVS),yes,1.0.0,Диагностика и стратификация риска при заболеваниях периферических артерий.
abo-ce,ABO Cast-Radiograph Evaluation,21. Стоматология,Ортодонтия,calculator,США (American Board of Orthodontics) · Am J Orthod Dentofacial Orthop,yes,1.0.0,Оценка качества ортодонтического лечения.
abpm,Ambulatory BP / HBPM критерии,4. Кардиология и сосуды,Гипертензия,calculator,Международный (ESC/ESH · ACC/AHA · NICE · РКО),yes,1.0.0,Интерпретация суточного и домашнего мониторинга АД.
absi,ABSI / Baux / Revised Baux / BOBI,6. Анестезиология и ICU,Ожоги,calculator,"Международный (ABA, ISBI)",yes,1.0.0,Оценка тяжести и прогноза при ожогах.
abw,Adjusted Body Weight,1. Клинические калькуляторы,Антропометрия,calculator,Международный,yes,1.0.0,Скорректированная масса тела для дозирования при ожирении.
acc-aha-hf,ACC/AHA stages A-D,4. Кардиология и сосуды,Сердечная недостаточность,score,США · ЕС · РФ,yes,1.0.0,Стадии прогрессирования сердечной недостаточности.
acdu,ACDU / Grady / Jouvet / Glasgow-Liege,5. Неврология и нейрохирургия,Сознание,score,США · Международный,yes,1.0.0,Альтернативные шкалы оценки сознания и комы.
ace3,ACE-III / Addenbrooke's,5. Неврология и нейрохирургия,Деменция,calculator,Международный (Cambridge),yes,1.0.0,Комплексная оценка когнитивных функций.
acne,GAGS / Cook / Leeds / IGA,22. Прочие специальности,Дерматология,calculator,Международный,yes,1.0.0,Оценка тяжести акне.
acog-preeclampsia,ACOG 2020 / ISSHP 2018/2021,8. Акушерство и гинекология,Преэклампсия,calculator,"Международный (ACOG, ISSHP, РОАГ)",yes,1.0.0,Современные критерии диагностики преэклампсии.
acr-eular,ACR/EULAR classification criteria,22. Прочие специальности,Ревматология,calculator,Международный (ACR/EULAR),yes,1.0.0,Международные классификационные критерии ревматологических заболеваний.
act,Asthma Control Test (ACT),13. Пульмонология,Астма,score,,yes,1.0.0,Оценка контроля бронхиальной астмы за последние 4 недели.
acvim,ACVIM / ISACHC,20. Ветеринарная медицина,Кардиология,calculator,США (ACVIM) · международный (IRIS),yes,1.0.0,Стадирование хронической сердечной недостаточности у собак.
ada-cdt,ADA CDT / SNODENT / ICD-10-DA / NICE CKS dental / РСА КР,21. Стоматология,Справочники,calculator,США (ADA),yes,1.0.0,Стоматологические справочники и кодификаторы.
ada-easd,ADA/EASD diabetes algorithm,22. Прочие специальности,Эндокринология,calculator,Международный (ADA/EASD),yes,1.0.0,Современный алгоритм лечения сахарного диабета 2 типа.
adrogue-madias,Adrogué-Madias,1. Клинические калькуляторы,Электролиты / КЩС,calculator,Международный,yes,1.0.0,Прогноз изменения натрия при инфузии раствора.
afs-enzian,AFS / rASRM / ENZIAN / #Enzian 2021,8. Акушерство и гинекология,Гинекология,score,"Международный (ASRM, ESHRE, #Enzian)",yes,1.0.0,Классификация стадий и тяжести эндометриоза.
agapss,Adjusted Global APS Score (aGAPSS),15. Лабораторная медицина,Гематология,calculator,Международный,yes,1.0.0,Оценка риска тромбоза при антифосфолипидном синдроме.
age-ddimer,Age-adjusted D-dimer,15. Лабораторная медицина,Коагуляция,calculator,Международный (ESC · ACCP),yes,1.0.0,Возраст-скорректированный порог D-димера у пациентов > 50 лет.
ahi,STOP-BANG / Berlin / ESS / NoSAS / AHI,13. Пульмонология,СОАС,calculator,Международный (AASM),yes,1.0.0,Скрининг и стратификация тяжести обструктивного апноэ сна.
ahls,AHLS (Advanced HazMat Life Support),17. Протоколы экстренной помощи,CBRN / Токсикология,calculator,"США (AACT/Univ Arizona), международные сертификаты AHLS",yes,1.0.0,Расширенная помощь при воздействии опасных веществ.
ahs-ecc,AHA ECC / ERC / Resuscitation Council UK / HEMS / SAMU,17. Протоколы экстренной помощи,Догоспитальные алгоритмы,calculator,"AHA (США), ERC (Европа), IAED/MPDS (60+ стран), SAMU (Франция)",yes,1.0.0,Протоколы международных служб неотложной помощи.
aifa-simg,AIFA / SIMG / SEMES,19. Региональные стандарты,Европа,calculator,Италия,yes,1.0.0,Итальянские и испанские клинические рекомендации.
aims65,AIMS65,7. Травматология и военная медицина,Неотложная хирургия,score,,yes,1.0.0,Шкала прогноза смертности при UGIB.
aldrete,Aldrete / Modified Aldrete / PADSS / White-Song,6. Анестезиология и ICU,Предоперационная,score,,yes,1.0.0,Критерии выхода из анестезии и перевода из PACU.
alsfrs,ALSFRS-R (0-48) / King's / MiToS,5. Неврология и нейрохирургия,Миастения / ALS / GBS,calculator,Международный (WFN),yes,1.0.0,Оценка функционального состояния при БАС.
alvarado-pas,Alvarado / PAS (Samuel) / AIR,3. Педиатрические инструменты,Экстренная педиатрия,score,Международный,yes,1.0.0,Оценка вероятности острого аппендицита.
alvarado,Alvarado (MANTRELS) / AIR / RIPASA / PAS,7. Травматология и военная медицина,Неотложная хирургия,score,,yes,1.0.0,Оценка вероятности острого аппендицита.
aminoglycoside,Aminoglycoside dosing (Hartford nomogram),1. Клинические калькуляторы,Дозирование,calculator,США · Международный,yes,1.0.0,Дозирование аминогликозидов с учётом функции почек.
amsler,Amsler grid,22. Прочие специальности,Офтальмология,calculator,Международный (AAO),yes,1.0.0,Скрининг макулярной патологии по искажению сетки.
anaphylaxis,NIAID/FAAN / WAO / Ring-Messmer / Sampson / EAACI,17. Протоколы экстренной помощи,Анафилаксия,calculator,WAO / EAACI / NIAID - международно,yes,1.0.0,Диагностические критерии и ведение анафилаксии.
anb,ANB / WITS / Steiner cephalometric,21. Стоматология,Ортодонтия,calculator,"Международный (Steiner CC, Am J Orthod, 1953)",yes,1.0.0,Цефалометрические параметры для ортодонтии.
andreasen,Andreasen classification / IADT Dental Trauma,21. Стоматология,Травма зубов,calculator,Международный (IADT),yes,1.0.0,Классификация и ведение травм зубов.
angle,Angle's / IOTN / PAR / ICON,21. Стоматология,Ортодонтия,calculator,"Международный (Edward Angle, 1899)",yes,1.0.0,Классификация окклюзии и потребности в ортодонтическом лечении.
anion-gap,Anion gap,1. Клинические калькуляторы,Электролиты / КЩС,calculator,,yes,1.0.0,"Дифф. диагностика метаболического ацидоза (MUDPILES, GOLD MARK)."
ann-arbor,Ann Arbor / Lugano,10. Онкология,Стадирование,calculator,Международный (Cotswolds / Lugano),yes,1.0.0,Стадирование лимфом Ходжкина и неходжкинских.
antidote,Antidote stocking (ACEP/AACT) / CHEMM / REMM,17. Протоколы экстренной помощи,CBRN / Токсикология,calculator,"Международные референсы (USA, ЕС)",yes,1.0.0,Рекомендации по запасам и применению антидотов.
anzcor,ANZCOR,17. Протоколы экстренной помощи,Реанимация,calculator,"Австралия, Новая Зеландия",yes,1.0.0,Протоколы реанимации Австралии и Новой Зеландии.
ao-cmf,Mandibular fractures AO CMF,21. Стоматология,Хирургия полости рта,calculator,Международный (AO Foundation · AO CMF),yes,1.0.0,Классификация переломов нижней челюсти.
ao-ota,AO/OTA 2018,7. Травматология и военная медицина,Ортопедия,calculator,Международный (AO Foundation + Orthopaedic Trauma Association),yes,1.0.0,Универсальная классификация переломов длинных костей.
ao-spine,TLICS / SLIC / AO Spine classification,7. Травматология и военная медицина,Голова / Позвоночник,calculator,Международный,yes,1.0.0,Классификация переломов позвоночника и выбор тактики.
aor-ru,КР АОР / Минздрав РФ,10. Онкология,Российские стандарты,calculator,Российская Федерация (МЗ РФ),yes,1.0.0,Российские клинические рекомендации по онкологии.
apache,APACHE II / III / IV,6. Анестезиология и ICU,Тяжесть в ICU,calculator,Международный (оригинал США),yes,1.0.0,Оценка тяжести состояния и прогноза смертности в ICU.
apfel,Apfel PONV (0-4),6. Анестезиология и ICU,Предоперационная,score,,yes,1.0.0,Оценка риска послеоперационной тошноты и рвоты.
apgar,Apgar score (1 и 5 мин),3. Педиатрические инструменты,Новорождённые,score,Международный,yes,1.0.0,Оценка состояния новорождённого в первые минуты жизни.
aphab,APHAB / SADL / IOI-HA / GHABP / COSI,22. Прочие специальности,ЛОР,calculator,Международный (AAA / ASHA),yes,1.0.0,Оценка эффективности слуховых аппаратов.
apri-hep,APRI / FIB-4 / NAFLD FS,11. Инфекционные болезни,Гепатиты,calculator,Международный (WHO / AASLD / EASL),yes,1.0.0,Неинвазивная оценка фиброза печени при гепатитах.
areds,AREDS / AREDS2 simplified,22. Прочие специальности,Офтальмология,calculator,США (NEI / AREDS),yes,1.0.0,Классификация и стратификация риска возрастной макулярной дегенерации.
arr,Aldosterone/Renin Ratio (ARR),15. Лабораторная медицина,Эндокринология,calculator,Международный (Endocrine Society · РАЭ),yes,1.0.0,Скрининг первичного гиперальдостеронизма.
asa-dental,ASA modifications / Misch bone D1-D4,21. Стоматология,Протезирование,calculator,Международный (ASA 2014/2020) · ADA adaptation,yes,1.0.0,Оценка риска и качества костной ткани перед имплантацией.
asa-e,"Предоперационные шкалы риска (ASA, RCRI, ACS NSQIP, METS, DASI)",6. Анестезиология и ICU,Предоперационная,calculator,Международный,yes,1.0.0,Комплексная предоперационная оценка риска.
asa-ps,ASA Physical Status (I-VI),2. Диагностические шкалы,Периоперационная,score,,yes,1.0.0,Предоперационная оценка физического состояния пациента.
asa-vet,ASA для ветеринарии / APPLE / SPI,20. Ветеринарная медицина,Анестезия / Критикал,calculator,США (ACVAA · AAHA) · международный,yes,1.0.0,Оценка анестезиологического и критического риска у животных.
asccp,ASCCP 2019 risk-based,8. Акушерство и гинекология,Гинекология,calculator,США (ASCCP); адаптация ESGO/IFCPC,yes,1.0.0,Управление рисками при патологии шейки матки.
ascvd,ASCVD Pooled Cohort Equations (ACC/AHA),4. Кардиология и сосуды,ССС-риск,calculator,США (ACC/AHA),yes,1.0.0,Оценка 10-летнего и пожизненного риска атеросклеротических ССЗ.
asean,ASEAN Clinical Guidelines,19. Региональные стандарты,Австралия / ЮВА,calculator,"Юго-Восточная Азия (ASEAN): Сингапур, Малайзия, Таиланд, Индонезия, Филиппины, Вьетнам, Мьянма, Камбоджа, Лаос, Бруней",yes,1.0.0,Клинические рекомендации стран Юго-Восточной Азии.
asia-drug,JADD / KIMS / China Pharmacopoeia / ChemoMeds,14. Фармакология и лекарства,Справочники,calculator,Япония · Корея · Китай · Тайвань,yes,1.0.0,"Азиатские лекарственные справочники (Япония, Корея, Китай, Индия)."
asia,ASIA / Frankel / ISNCSCI,5. Неврология и нейрохирургия,Спинальная травма,score,Международный (ASIA / ISCoS),yes,1.0.0,Классификация спинальной травмы и неврологического дефицита.
aspects,ASPECTS / pc-ASPECTS,5. Неврология и нейрохирургия,Инсульт,calculator,,yes,1.0.0,Оценка ранних ишемических изменений на КТ.
asrs,ASRS v1.1 (WHO),9. Психиатрия и психология,СДВГ,calculator,Международный (WHO),yes,1.0.0,Скрининг СДВГ у взрослых.
ata,ATA risk / Bethesda TBSRTC,22. Прочие специальности,Эндокринология,calculator,Международный (ATA 2015),yes,1.0.0,Оценка риска рака щитовидной железы и цитологии.
atlanta,Revised Atlanta 2012 / Balthazar CTSI,7. Травматология и военная медицина,Неотложная хирургия,calculator,"Международный (IAP/APA, ACG guidelines)",yes,1.0.0,Классификация тяжести острого панкреатита.
atls,ATLS (ACS-COT),17. Протоколы экстренной помощи,Догоспитальная травма,calculator,"ACS-COT (США), 86 стран (курсы ATLS проводятся официально)",yes,1.0.0,Стандарт оказания помощи при тяжёлой травме.
ats,ATS (Australasian Triage Scale),2. Диагностические шкалы,Триаж,score,Австралия,yes,1.0.0,Австралийский стандарт сортировки пациентов.
audit-c,AUDIT-C,9. Психиатрия и психология,Зависимости,score,,yes,1.0.0,Короткий скрининг проблемного употребления алкоголя (3 вопроса).
avpu,AVPU,5. Неврология и нейрохирургия,Сознание,score,Международный (ATLS / APLS / NEWS2),yes,1.0.0,Быстрая догоспитальная оценка уровня сознания.
awmf-de,AWMF / Rote Liste / Arzneimittelkursbuch,19. Региональные стандарты,Европа,calculator,"Германия (также Австрия, Швейцария — частично)",yes,1.0.0,Немецкие клинические рекомендации и фармацевтические справочники.
awmf,AWMF Leitlinien,18. Учебные инструменты,Базы знаний,calculator,Германия (Arbeitsgemeinschaft der Wissenschaftlichen Medizinischen Fachgesellschaften),yes,1.0.0,Немецкие клинические рекомендации по специальностям.
ballard,Ballard / New Ballard Score,3. Педиатрические инструменты,Новорождённые,score,Международный,yes,1.0.0,Определение гестационного возраста после рождения.
barthel,Barthel Index / Modified Barthel,2. Диагностические шкалы,Функциональный статус,score,Международный,yes,1.0.0,Оценка самообслуживания и базовых ADL.
basdai,BASDAI / BASFI / ASDAS,22. Прочие специальности,Ревматология,calculator,,yes,1.0.0,Оценка активности и функции при аксиальном спондилоартрите.
bcs,BCS (WSAVA) / Muscle Condition Score,20. Ветеринарная медицина,Общее,calculator,Международный (WSAVA),yes,1.0.0,Оценка упитанности и мышечной массы у животных.
bdi,BDI-II / BDI-Fast,9. Психиатрия и психология,Депрессия,calculator,Международный,yes,1.0.0,Оценка выраженности симптомов депрессии.
beck-ssi,Beck SSI / SAD PERSONS / P4 / NGASR / Sheehan-STS,9. Психиатрия и психология,Суицид,calculator,Международный,yes,1.0.0,Альтернативные шкалы оценки суицидального риска.
beers,Beers / STOPP/START / FORTA / PRISCUS,14. Фармакология и лекарства,Гериатрия,calculator,США (AGS) · используется глобально,yes,1.0.0,Критерии потенциально неподходящих лекарств у пожилых.
berg-balance,Berg Balance / TUG / DGI / Tinetti,22. Прочие специальности,Реабилитация,calculator,Международный,yes,1.0.0,Оценка равновесия и риска падений.
berlin-ards,Berlin 2012 + Global 2023,6. Анестезиология и ICU,ARDS,calculator,Международный (ESICM/ATS/SCCM),yes,1.0.0,Диагностические критерии и тяжесть ОРДС.
bethesda-cyto,Bethesda System 2014,8. Акушерство и гинекология,Гинекология,calculator,Международный (Bethesda),yes,1.0.0,Классификация цитологии шейки матки.
big,BIG score,7. Травматология и военная медицина,Абдоминальная травма,calculator,Международный (derived US military + civilian),yes,1.0.0,Оценка риска смертности при тупой травме у детей.
binet-rai,Binet / Rai,10. Онкология,Стадирование,calculator,Международный (iwCLL / Binet Европа / Rai США),yes,1.0.0,Стадирование хронического лимфолейкоза.
bipss,BIPSS / TUBA / TEOA / DPOAE,22. Прочие специальности,ЛОР,calculator,Международный (Endocrine Society),yes,1.0.0,Методы объективного скрининга слуха.
birads,BI-RADS (ACR),10. Онкология,Специфические,calculator,Международный (ACR),yes,1.0.0,"Стандартизированная оценка маммографии, УЗИ и МРТ молочных желёз."
bis,BIS / SSEP / NSE,6. Анестезиология и ICU,Остановка сердца,calculator,Международный (ERC/ESICM),yes,1.0.0,Оценка неврологического прогноза после остановки сердца.
bisap,BISAP,7. Травматология и военная медицина,Неотложная хирургия,score,,yes,1.0.0,Шкала тяжести острого панкреатита за 24 ч.
bishop,Bishop score (0-13) / modified / simplified,8. Акушерство и гинекология,Беременность,score,,yes,1.0.0,Оценка зрелости шейки матки перед индукцией родов.
blacks,Black's classification,21. Стоматология,Классификации,calculator,"Международный · классика (G.V. Black, 1908)",yes,1.0.0,Классификация кариозных полостей по локализации.
bls-acls,BLS / ACLS / PALS (AHA),17. Протоколы экстренной помощи,Реанимация,calculator,"AHA (США, Канада, международно)",yes,1.0.0,Американские алгоритмы базовой и расширенной реанимации.
bmi,BMI / Индекс массы тела (Quetelet),1. Клинические калькуляторы,Антропометрия,calculator,Международный (ВОЗ),yes,1.0.0,Скрининг избыточной массы тела и ожирения у взрослых.
bnf,BNF / BNFc,14. Фармакология и лекарства,Справочники,calculator,Великобритания (NHS),yes,1.0.0,Официальный британский формуляр лекарственных средств.
bode,BODE index / ADO / DOSE,13. Пульмонология,ХОБЛ,score,,yes,1.0.0,Оценка прогноза выживаемости при ХОБЛ.
bodyfat,"% Body Fat (Jackson-Pollock, Navy)",1. Клинические калькуляторы,Антропометрия,calculator,США (U.S. Navy) · Международный,yes,1.0.0,Оценка процента жировой ткани в спортивной и военной медицине.
boey,Boey / ASA + Boey,7. Травматология и военная медицина,Неотложная хирургия,score,Международный (WSES guidelines 2020),yes,1.0.0,Оценка риска смертности при перфоративной язве.
bolton,Bolton / Little's irregularity index,21. Стоматология,Ортодонтия,calculator,"Международный (Bolton WA, Am J Orthod, 1958/1962)",yes,1.0.0,Ортодонтические анализы моделей челюстей.
bop,BOP% / PPD,21. Стоматология,Периодонтология,calculator,"Международный (AAP/EFP, Ainamo & Bay 1975)",yes,1.0.0,Основные пародонтальные измерения (кровоточивость и глубина карманов).
borg,Borg CR-10 / 6-20 RPE,22. Прочие специальности,Реабилитация,calculator,Международный,yes,1.0.0,Субъективная оценка интенсивности физической нагрузки.
bova,Bova / FAST score,4. Кардиология и сосуды,ТЭЛА,score,Международный,yes,1.0.0,Выявление пациентов промежуточно-высокого риска при ТЭЛА.
bp-guidelines,"Целевые уровни АД (ACC/AHA, ESC, NICE, РКО)",4. Кардиология и сосуды,Гипертензия,calculator,США (ACC/AHA) · ЕС (ESC/ESH) · Великобритания (NICE) · РФ (РКО),yes,1.0.0,Сравнение международных рекомендаций по целевому АД.
bpi,Brief Pain Inventory,2. Диагностические шкалы,Боль,calculator,Международный (MD Anderson),yes,1.0.0,Многомерная оценка боли и её влияния на жизнь.
bps-icu,BPS / CPOT / NVPS / ESCID,6. Анестезиология и ICU,Седация / Делирий,score,Международный (SCCM PADIS 2018),yes,1.0.0,Оценка боли у невербальных пациентов в ICU.
braden,Braden / Norton / Waterlow,2. Диагностические шкалы,Функциональный статус,score,Международный (NPUAP / EPUAP / PPPIA),yes,1.0.0,Оценка риска развития пролежней.
brca-models,BRCA1/2 risk models / Manchester / Myriad,10. Онкология,Скрининг рисков,calculator,"Международный (NCCN, NICE, ESMO)",yes,1.0.0,Оценка вероятности наследственных мутаций BRCA.
breslow,Breslow thickness / Clark / AJCC,22. Прочие специальности,Дерматология,calculator,Международный (AJCC 8 / NCCN),yes,1.0.0,Гистологическое стадирование меланомы.
bristol,Bristol Stool Scale,11. Инфекционные болезни,Контроль инфекций,calculator,Международный,yes,1.0.0,Визуальная классификация формы стула.
bromage,Bromage scale,6. Анестезиология и ICU,Предоперационная,score,,yes,1.0.0,Оценка глубины моторного блока при эпидуральной анестезии.
broselow,Broselow-Luten Tape,3. Педиатрические инструменты,Экстренная педиатрия,calculator,Международный (AHA/PALS),yes,1.0.0,Быстрый подбор дозы и оборудования по росту ребёнка.
brugada,Brugada criteria,4. Кардиология и сосуды,ЭКГ / Ритм,score,Международный (ESC · AHA · HRS),yes,1.0.0,Дифф. диагностика тахикардии с широким QRS.
bsa-dose,BSA-based dosing (mg/m²),1. Клинические калькуляторы,Дозирование,calculator,США · ЕС · Международный,yes,1.0.0,"Расчёт дозы по площади поверхности тела (онкология, педиатрия)."
bsa-dubois,BSA - Du Bois & Du Bois (1916),1. Клинические калькуляторы,Антропометрия,calculator,Международный,yes,1.0.0,Площадь поверхности тела для дозирования химиотерапии и индексации ЭхоКГ.
bsa-haycock,BSA - Haycock / Gehan-George / Boyd,1. Клинические калькуляторы,Антропометрия,calculator,Международный (особ. педиатрия и онкология),yes,1.0.0,Альтернативные формулы BSA для детей и специальных популяций.
bsa-mosteller,BSA - Mosteller,1. Клинические калькуляторы,Антропометрия,calculator,США · Международный,yes,1.0.0,Площадь поверхности тела - стандарт в онкологии.
c-ssrs,C-SSRS (Columbia),9. Психиатрия и психология,Суицид,calculator,США · ЕС · РФ · FDA стандарт,yes,1.0.0,Оценка суицидальных идеаций и поведения (стандарт FDA).
ca-corrected,Corrected Ca²⁺ (Payne),1. Клинические калькуляторы,Электролиты / КЩС,calculator,,yes,1.0.0,Коррекция общего кальция на уровень альбумина.
cage-audit,AUDIT / MAST / T-ACE,9. Психиатрия и психология,Зависимости,score,Международный (ВОЗ),yes,1.0.0,Скрининг употребления алкоголя (расширенные шкалы).
cage,CAGE,9. Психиатрия и психология,Зависимости,score,,yes,1.0.0,Быстрый скрининг алкоголизма (4 вопроса).
calcium-pth,Calcium correction / PTH / vitamin D,15. Лабораторная медицина,Эндокринология,calculator,Международный (Endocrine Society · IOF),yes,1.0.0,Диагностика нарушений кальциевого обмена.
calvert,Chemotherapy dose by AUC (Calvert),1. Клинические калькуляторы,Дозирование,calculator,"Международный (ASCO, ESMO)",yes,1.0.0,Расчёт дозы карбоплатина по AUC и функции почек.
cam-icu,CAM-ICU / ICDSC / Nu-DESC / 4AT,6. Анестезиология и ICU,Седация / Делирий,calculator,Международный (SCCM PADIS 2018),yes,1.0.0,Скрининг делирия у пациентов в ICU.
cam,CAM (Inouye) / CAM-ICU / 3D-CAM / b-CAM,2. Диагностические шкалы,Делирий,score,США,yes,1.0.0,Скрининг и диагностика делирия.
can-cspine,Canadian C-Spine Rule / NEXUS C-spine,7. Травматология и военная медицина,Голова / Позвоночник,calculator,Международный,yes,1.0.0,Показания к визуализации шейного отдела при травме.
can-ct-head,Canadian CT Head Rule / New Orleans / NICE,5. Неврология и нейрохирургия,ЧМТ,score,Канада · Международный,yes,1.0.0,Показания к КТ головы у взрослых при лёгкой ЧМТ.
cap-scores,CURB-65 / CRB-65 / PSI / PORT / SMART-COP / A-DROP,11. Инфекционные болезни,Пневмония,calculator,Международный (IDSA/ATS),yes,1.0.0,Оценка тяжести внебольничной пневмонии.
capra,D'Amico / CAPRA / Partin tables,12. Нефрология и урология,Урология,calculator,Международный (AUA/EAU),yes,1.0.0,Стратификация риска и прогноз при раке простаты.
caprini,Caprini,2. Диагностические шкалы,ВТЭ / Кровотечение,score,"Международный (ACCP 2012, AAOS, ASCO)",yes,1.0.0,Оценка риска ВТЭ у хирургических пациентов.
casi,CASI / CCCA staging,22. Прочие специальности,Дерматология,calculator,Международный,yes,1.0.0,Оценка тяжести центральной центробежной рубцовой алопеции.
cast-icdas,CAST / ICDAS II,21. Стоматология,Классификации,calculator,Международный (ICDAS Foundation · CAST Frencken et al.),yes,1.0.0,Визуальная диагностика и классификация кариозных поражений.
cbcl,CBCL / YSR / TRF (Achenbach) / SDQ / PSC-17/35,9. Психиатрия и психология,Дети и подростки,calculator,"Международный (ASEBA, >100 стран)",yes,1.0.0,Оценка эмоциональных и поведенческих проблем у детей и подростков.
cbpi,CBPI / LOAD / HCPI,20. Ветеринарная медицина,Ортопедия,calculator,США (Purdue University),yes,1.0.0,Оценка хронической боли при заболеваниях суставов у собак.
ccs,CCS (Canadian Cardiovascular Society) I-IV,4. Кардиология и сосуды,Стенокардия,score,Международный (CCS · ESC · ACC/AHA),yes,1.0.0,Классификация функциональных классов стенокардии.
cdai,Harvey-Bradshaw / CDAI,7. Травматология и военная медицина,Неотложная хирургия,calculator,"Международный (ECCO 2020, ACG 2018, STRIDE-II 2021)",yes,1.0.0,Оценка активности болезни Крона.
cdc-acip,CDC/ACIP (США),3. Педиатрические инструменты,Иммунизация,calculator,США,yes,1.0.0,Американский календарь профилактических прививок.
cdc-growth,CDC Growth Charts (2-20 лет),3. Педиатрические инструменты,Рост и развитие,calculator,США · международный 2-20 лет,yes,1.0.0,Американские перцентили роста и развития детей и подростков.
cdr,CDR / FAST / GDS-Reisberg,5. Неврология и нейрохирургия,Деменция,calculator,,yes,1.0.0,Стадирование тяжести деменции.
ceap,CEAP,4. Кардиология и сосуды,Сосуды / Аорта,score,Международный (AVF · ESVS · SVS),yes,1.0.0,Классификация хронической венозной недостаточности.
centor,Centor / McIsaac,11. Инфекционные болезни,Бактериальные,score,,yes,1.0.0,Оценка вероятности стрептококкового фарингита и показаний к антибиотикам.
cfs,"Clinical Frailty Scale (Rockwood, 1-9)",2. Диагностические шкалы,Функциональный статус,score,"Международный (NICE, ESICM)",yes,1.0.0,"Оценка хрупкости в гериатрии, ICU, предоперационно."
chads-vasc,CHA₂DS₂-VASc,4. Кардиология и сосуды,Фибрилляция предсердий,score,"Международный (ESC, AHA, РКО)",yes,1.0.0,Оценка риска инсульта и показаний к антикоагуляции при ФП.
charlson,Charlson Comorbidity Index / Elixhauser / Van Walraven,2. Диагностические шкалы,Периоперационная,score,,yes,1.0.0,Оценка коморбидности и долгосрочного прогноза.
cheson,Cheson / Lugano / IWG / IMWG,10. Онкология,Ответ на лечение,calculator,Международный (Lugano 2014),yes,1.0.0,Оценка ответа на лечение лимфом и миеломы.
child-meld,Child-Pugh / MELD / MELD-Na / MELD 3.0,7. Травматология и военная медицина,Неотложная хирургия,score,,yes,1.0.0,Оценка тяжести цирроза и приоритета трансплантации печени.
china,Chinese Medical Association / Chinese Pharmacopoeia / NRDL,19. Региональные стандарты,Китай,calculator,Китай (КНР),yes,1.0.0,Китайские клинические рекомендации и фармакопея.
cis,Украина / Беларусь / Казахстан: локальные КР МЗ,19. Региональные стандарты,СНГ,calculator,"СНГ / ЕАЭС (РФ, Беларусь, Казахстан, Кыргызстан, Армения)",yes,1.0.0,Клинические рекомендации стран СНГ.
cite,FIV/FeLV CITE / FIP AGP/ALB / Tick-borne IDEXX 4Dx,20. Ветеринарная медицина,Инфекционные,calculator,США (Cornell / AAEP) · международный,yes,1.0.0,Экспресс-диагностика ветеринарных инфекций.
